timestamp,speed_mph,rpm,throttle_pos,engine_temp_C,CO2,CO,HC,O2,NOx,fuel_rate_L100km,vehicle_id
0,62.1,2703,51.9,81.2,186.67,0.24,73.3,0.57,166.0,7.37,Car_0003
5,69.8,2969,58.6,84.6,154.05,0.521,61.8,0.83,214.7,8.2,Car_0003
10,64.8,2803,58.1,91.0,146.21,0.294,55.7,0.74,129.7,7.9,Car_0003
15,68.9,2938,65.6,87.6,183.49,0.472,72.8,1.06,232.3,7.34,Car_0003
20,51.5,2248,38.6,89.1,191.94,0.509,86.8,1.38,192.9,8.0,Car_0003
25,66.1,2820,61.8,87.3,168.99,0.48,85.2,0.3,212.4,8.27,Car_0003
30,66.2,2669,57.5,85.7,166.85,0.612,63.4,0.36,207.1,7.11,Car_0003
35,68.8,3072,59.2,87.7,193.39,0.755,125.5,0.54,188.8,8.54,Car_0003
40,51.6,2348,43.4,89.1,181.36,0.62,93.9,0.82,190.0,8.1,Car_0003
45,73.1,2921,63.2,85.0,172.2,0.797,75.0,0.52,160.9,8.15,Car_0003
50,70.3,2893,55.6,87.6,170.47,0.668,123.9,1.36,210.2,8.51,Car_0003
55,74.8,3171,60.5,81.6,182.41,0.598,92.2,0.96,177.8,8.24,Car_0003
60,74.9,3030,58.5,84.5,174.72,0.44,114.7,1.04,141.4,8.61,Car_0003
65,79.3,3507,63.7,85.4,150.8,0.68,89.6,0.88,173.5,9.03,Car_0003
70,81.7,3387,69.9,85.2,184.02,0.571,29.4,0.28,267.6,9.39,Car_0003
75,66.5,2714,53.9,81.5,163.37,0.869,67.5,0.56,136.7,8.32,Car_0003
80,60.2,2672,48.7,90.4,175.84,0.589,51.9,0.81,201.2,8.18,Car_0003
85,71.0,2942,53.3,78.2,151.58,0.719,96.0,1.14,211.2,8.48,Car_0003
90,68.6,2688,58.1,83.5,157.91,0.343,78.7,1.07,221.6,7.8,Car_0003
95,70.7,2914,48.9,88.3,158.47,0.611,64.2,1.03,247.1,8.49,Car_0003
100,73.4,2937,59.6,82.1,184.08,0.785,70.4,0.81,171.2,7.79,Car_0003
105,65.2,2636,44.6,86.4,151.85,0.465,26.8,0.83,160.2,7.86,Car_0003
110,76.5,3083,65.3,85.7,176.24,0.418,79.8,0.73,231.1,8.26,Car_0003
115,75.8,3127,60.3,87.8,163.26,0.423,64.0,0.48,216.7,8.43,Car_0003
120,67.5,2911,60.7,85.9,139.13,0.651,40.8,0.53,190.6,9.02,Car_0003
125,50.3,2155,38.3,87.7,139.9,0.281,104.3,1.06,147.5,8.18,Car_0003
130,71.0,2838,55.6,83.8,151.62,0.62,100.2,0.37,221.3,7.84,Car_0003
135,69.8,2925,63.3,85.6,171.97,0.892,112.3,1.12,227.5,8.58,Car_0003
140,83.6,3382,66.3,86.0,176.68,0.303,68.4,1.31,167.3,9.04,Car_0003
145,73.1,3089,57.0,83.4,169.85,0.409,111.0,0.85,237.1,7.94,Car_0003
150,75.4,3309,62.5,82.4,187.23,0.468,54.2,0.46,163.0,8.77,Car_0003
155,63.9,2628,51.4,87.1,180.1,0.754,73.4,1.1,156.1,8.98,Car_0003
160,75.6,3095,55.1,88.7,162.07,0.403,63.6,0.62,222.9,8.73,Car_0003
165,71.0,3118,53.0,86.7,149.27,0.628,91.5,0.84,224.2,8.66,Car_0003
170,74.4,2894,66.4,91.1,184.94,0.53,119.3,0.87,243.4,8.82,Car_0003
